epoch,train_loss,val_loss,val_micro_precision_non_o,val_micro_recall_non_o,val_micro_f1_non_o,val_macro_precision_non_o,val_macro_recall_non_o,val_macro_f1_non_o
1,3.179874539375305,3.003920793533325,0.1782380396732789,0.3035270740188773,0.22459106781841573,0.07621156469388285,0.08363795302273686,0.06400431446624187
2,2.8204856395721434,2.673298954963684,0.24479166666666666,0.4202682563338301,0.30938014262205155,0.10917735219858236,0.09399639574158059,0.0791999499610563
3,2.5384727716445923,2.4769142866134644,0.27645348837209305,0.47242921013412814,0.348798826334128,0.10089835378966,0.1271345653999442,0.09666328080557912
4,2.317440891265869,2.2964320182800293,0.29876977152899825,0.5067064083457526,0.37589828634604755,0.12201254654747033,0.14205717415184588,0.1167961857397111
